SlotMachineKey,AssetNumber,OnFloor,OffFloor,Status,LocationID,Zone,Bank,Position,Denomination,Par,SerialNumber,CabinetTypeID,DisplayID,ManufacturerID,ContributionTypeID,GameCode,Description,GameID,MultiGame,leased,contribution,MaxCoins,CasinoCode,RecordEffectiveDate,RecordTermDate,ManualUpdate,SourceSystem,LoadDTTM
37959,103793,2017-12-20 00:00:00.000,NULL,A,022601,02,"26        ","01 ",0.01,11.4900,2065682,NULL,7,6,NULL,V Reel,200C GOLDEN GODDESS 01-05 MD,5358664,0,1,NULL,200,HRLV,2017-12-20 00:00:00.000,2017-12-19 00:00:00.000,0,IGT,2018-06-20 05:30:19.820
37449,103829,2018-05-22 00:00:00.000,NULL,A,035201,03,"52        ","01 ",0.01,11.5200,W2218314,NULL,7,200022,NULL,V Reel,150C CRYSTAL FOREST 01-05 MD,6235276,0,1,NULL,150,HRLV,2018-05-22 00:00:00.000,2018-05-21 00:00:00.000,0,IGT,2018-06-11 05:30:21.527
38120,103795,2017-12-20 00:00:00.000,NULL,A,022603,02,"26        ","03 ",0.01,12.4600,2065674,NULL,7,6,NULL,V Reel,200C WOLF RUN 01-05 MD,5359205,0,1,NULL,200,HRLV,2017-12-20 00:00:00.000,2017-12-19 00:00:00.000,0,IGT,2018-06-23 05:30:21.530
23368,100109,2002-10-14 00:00:00.000,NULL,I,WHXXXX,WH,"XX        ","XX ",0.0100,5.7500,954493,54,7,6,NULL,Reel,180C TOP DOLLAR,NULL,1,0,NULL,NULL,HRLV,2002-10-14 00:00:00.000,5999-12-31 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
43314,103795,2017-12-20 00:00:00.000,NULL,A,022603,02,"26        ","03 ",0.01,12.4600,2065674,NULL,7,6,NULL,V Reel,200C WOLF RUN 01-05 MD,5359205,0,1,NULL,200,HRLV,2017-12-20 00:00:00.000,2017-12-19 00:00:00.000,0,IGT,2018-09-26 05:30:22.003
43580,103816,2018-02-27 00:00:00.000,NULL,A,011302,01,"13        ","02 ",0.01,9.5700,2392024,NULL,7,6,NULL,Participation,400C FRT KNX CLEO 5L,1358978323,1,0,NULL,400,HRLV,2018-02-27 00:00:00.000,2018-02-26 00:00:00.000,0,IGT,2018-10-01 05:30:21.407
41823,103806,2018-01-25 00:00:00.000,NULL,A,013002,01,"30        ","02 ",0.01,11.8400,2391760,NULL,7,6,NULL,Participation,600C THE VOICE 5L,1358978350,1,0,NULL,600,HRLV,2018-01-25 00:00:00.000,2018-01-24 00:00:00.000,0,IGT,2018-08-31 05:30:20.673
23932,300243,2002-12-30 00:00:00.000,NULL,I,WHXXXX,WH,"XX        ","XX ",0.0500,10.0000,"W1017851   ",44,7,200022,NULL,Reel,200C WOF EXTRA SPIN,NULL,0,0,NULL,NULL,HRLV,2002-12-30 00:00:00.000,5999-12-31 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
30222,103517,2016-03-01 00:00:00.000,2016-06-09 00:00:00.000,I,034006,03,"40        ","06 ",0.0100,12.0600,5023851,11,7,200022,NULL,V Reel,200C SWEET NOTHINGS,4988644,1,0,NULL,200,HRLV,2016-03-01 00:00:00.000,2016-06-09 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
34632,500650,2018-01-25 00:00:00.000,NULL,A,014401,01,"44        ","01 ",1.0000,13.9900,2221903,33,4,6,NULL,Participation,MEGA PINK DIAMOND,1358957769,1,0,NULL,3,HRLV,2018-01-25 00:00:00.000,2018-01-24 00:00:00.000,0,IGT,2018-04-12 05:30:16.200
43735,103828,2018-05-22 00:00:00.000,NULL,A,013208,01,"32        ","08 ",0.01,11.4200,W2237302,NULL,7,200022,NULL,V Reel,250C GIANTS GOLD 01-05 MD,4660440,0,1,NULL,250,HRLV,2018-05-22 00:00:00.000,2018-05-21 00:00:00.000,0,IGT,2018-10-04 05:30:41.487
43758,300730,2018-01-30 00:00:00.000,NULL,A,027601,02,"76        ","01 ",0.05,5.5400,942442,NULL,7,6,NULL,Multi,GAME KING .05-.50 MD,5793576,0,1,NULL,100,HRLV,2018-01-30 00:00:00.000,2018-01-29 00:00:00.000,0,IGT,2018-10-04 05:30:41.487
37220,300719,2017-11-21 00:00:00.000,NULL,A,028606,02,"86        ","06 ",0.05,5.2000,1938122,NULL,7,6,NULL,Multi,GAME KING .05-1 MD,4991686,0,1,NULL,100,HRLV,2017-11-21 00:00:00.000,2017-11-20 00:00:00.000,0,IGT,2018-06-06 05:30:31.867
41252,500650,2018-01-25 00:00:00.000,NULL,A,014401,01,"44        ","01 ",1.00,13.9900,2221903,NULL,4,6,NULL,Participation,MEGA PINK DIAMOND,1358957769,1,0,NULL,3,HRLV,2018-01-25 00:00:00.000,2018-01-24 00:00:00.000,0,IGT,2018-08-21 05:32:38.007
39223,500650,2018-01-25 00:00:00.000,NULL,A,014401,01,"44        ","01 ",1.00,13.9900,2221903,NULL,4,6,NULL,Participation,MEGA PINK DIAMOND,1358957769,1,0,NULL,3,HRLV,2018-01-25 00:00:00.000,2018-01-24 00:00:00.000,0,IGT,2018-07-16 05:30:21.420
